rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2))
A story wasn't scanned by the doctor.,A story wasn't scanned by the newspaper article.,,,
Sherry wasn't criticized by some customers.,Sherry wasn't criticized by some casseroles.,,,
Joseph isn't praised by the pedestrians.,Joseph isn't praised by the hypothesis.,,,
Gregory wasn't helped by some teenager.,Gregory wasn't helped by some legislature.,,,
Every student was listened to by some guys.,Every student was listened to by some rabbit.,,,
Mitchell isn't hated by some man.,Mitchell isn't hated by some brochures.,,,
Those stairs aren't climbed down by the cashiers.,Those stairs aren't climbed down by the dress.,,,
Some mushrooms were brought by the actors.,Some mushrooms were brought by the carts.,,,
Most children aren't listened to by some girls.,Most children aren't listened to by some fungus.,,,
Teresa is attacked by some child.,Teresa is attacked by some cacti.,,,
A hospital is exited by some adults.,A hospital is exited by some coats.,,,
These actresses were referenced by some lady.,These actresses were referenced by some box.,,,
Stacey wasn't fired by some guest.,Stacey wasn't fired by some geese.,,,
A mall is explored by the people.,A mall is explored by the beef.,,,
The women were kissed by some teenagers.,The women were kissed by some glasses.,,,
The commentaries weren't examined by some lady.,The commentaries weren't examined by some bike.,,,
Homer isn't described by the boys.,Homer isn't described by the snake.,,,
Spain is toured by the actress.,Spain is toured by the turtle.,,,
Some hills aren't climbed down by some drivers.,Some hills aren't climbed down by some government.,,,
Aaron isn't referenced by the teacher.,Aaron isn't referenced by the picture.,,,
Carolyn is referenced by some adults.,Carolyn is referenced by some book.,,,
Donna wasn't disliked by the patients.,Donna wasn't disliked by the apple.,,,
The commentaries weren't scanned by the patient.,The commentaries weren't scanned by the snake.,,,
Many grocery stores are passed by the children.,Many grocery stores are passed by the trucks.,,,
Some book isn't scanned by some dancer.,Some book isn't scanned by some reports.,,,
Julia was talked to by the lady.,Julia was talked to by the sheep.,,,
A lot of malls are exited by some children.,A lot of malls are exited by some screens.,,,
Mitchell was discussed by some boy.,Mitchell was discussed by some pork.,,,
Kevin was loved by the teenagers.,Kevin was loved by the broccoli.,,,
The cafes aren't appreciated by some driver.,The cafes aren't appreciated by some ellipsis.,,,
Many glasses aren't cleaned by the men.,Many glasses aren't cleaned by the committees.,,,
Cilantro wasn't hidden by some teacher.,Cilantro wasn't hidden by some fish.,,,
That hill is seen by the children.,That hill is seen by the rabbits.,,,
Debra wasn't admired by the drivers.,Debra wasn't admired by the geese.,,,
These sketches were researched by some girls.,These sketches were researched by some axes.,,,
Bethany isn't thought about by the ladies.,Bethany isn't thought about by the windows.,,,
A grocery store is researched by the actor.,A grocery store is researched by the ellipsis.,,,
That cafe isn't driven to by some teachers.,That cafe isn't driven to by some documentary.,,,
Spain wasn't toured by some customer.,Spain wasn't toured by some company.,,,
That ladder wasn't descended by the cashier.,That ladder wasn't descended by the convertibles.,,,
Thomas wasn't hugged by some guest.,Thomas wasn't hugged by some projectors.,,,
That fish is taken by the teacher.,That fish is taken by the series.,,,
This art gallery wasn't passed by some woman.,This art gallery wasn't passed by some teeth.,,,
These unicycles are seen by the guests.,These unicycles are seen by the deer.,,,
Timothy was praised by the waitresses.,Timothy was praised by the geese.,,,
Curtis is concealed by some teenager.,Curtis is concealed by some paralysis.,,,
These universities were boycotted by some lady.,These universities were boycotted by some mirrors.,,,
Many malls aren't messed up by some actresses.,Many malls aren't messed up by some skateboards.,,,
Deanna isn't boasted about by some waiters.,Deanna isn't boasted about by some wheelbarrows.,,,
Jacqueline was talked to by the cashiers.,Jacqueline was talked to by the feet.,,,
That patient wasn't helped by the boy.,That patient wasn't helped by the reports.,,,
Deborah isn't watched by some children.,Deborah isn't watched by some fish.,,,
Some hill was escaped from by the actresses.,Some hill was escaped from by the fungus.,,,
Theodore is referenced by some driver.,Theodore is referenced by some muffins.,,,
Every skateboard isn't lifted by the man.,Every skateboard isn't lifted by the oxen.,,,
All public parks were explored by some teenager.,All public parks were explored by some screen.,,,
This cake is seen by the pedestrians.,This cake is seen by the parentheses.,,,
Every person wasn't cared for by the offspring.,Every person wasn't cared for by the fungus.,,,
Edward wasn't insulted by some alumni.,Edward wasn't insulted by some oxen.,,,
Brad was investigated by the actresses.,Brad was investigated by the rabbits.,,,
