,rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
18,Carlos has sounded like all hospitals.,This ice has sounded like all hospitals.,-54.561195373535156,-58.39479446411133,1.0,3.833599090576172,2427.109887842004,1479.3370215962448
19,Wendy walked through some schools.,The spotlight walked through some schools.,-44.69818925857544,-48.54889678955078,1.0,3.850707530975342,593.1549173885812,432.0805800285616
20,Steve hasn't returned to a dancer.,The nose hasn't returned to a dancer.,-50.448617935180664,-51.08956050872803,1.0,0.6409425735473633,155.2228449125225,104.01191925478687
21,Anne wasn't thinking about Paula.,Art wasn't thinking about Paula.,-41.44149398803711,-44.23429584503174,1.0,2.792801856994629,99.944041375396,136.30864467318162
22,Some women were scanning the essay.,A lot of dishes were scanning the essay.,-46.762916564941406,-59.34746742248535,1.0,12.584550857543945,345.62852481960823,377.94426673487203
23,Victoria wouldn't insult a man.,That unicycle wouldn't insult a man.,-44.50994110107422,-53.875096797943115,1.0,9.365155696868896,260.79708103366323,133.98610124782908
24,Peter isn't thinking about a lot of schools.,Some turtle isn't thinking about a lot of schools.,-49.575976848602295,-60.177345275878906,1.0,10.601368427276611,90.64103053886305,73.5806295342846
25,Samuel shouldn't hate Susan.,Art shouldn't hate Susan.,-45.464698791503906,-47.44253444671631,1.0,1.9778356552124023,661.7957477682091,877.875620201602
26,Karla drives to every grocery store.,This chair drives to every grocery store.,-45.777854919433594,-50.88221740722656,1.0,5.104362487792969,305.58618952588273,578.4066545642704
27,Omar isn't talking to Erin.,A legislature isn't talking to Erin.,-42.36706733703613,-54.71575689315796,1.0,12.348689556121826,69.17964927175085,144.62724633959405
28,Galileo had talked to Stephanie.,This car had talked to Stephanie.,-47.37117576599121,-43.34331512451172,0.0,4.027860641479492,193.14939831680965,225.40851779213656
29,Mitchell criticized Amy.,Some art gallery criticized Amy.,-41.115851402282715,-48.66934823989868,1.0,7.553496837615967,3726.297083196164,1046.0370182251322
30,Clyde couldn't forget Phillip.,That sketch couldn't forget Phillip.,-43.429388999938965,-57.09306764602661,1.0,13.663678646087646,76.93330671656348,568.8826551492541
31,Most companies have remembered Jesus.,These chairs have remembered Jesus.,-40.63492298126221,-44.57401943206787,1.0,3.939096450805664,873.4816863644196,1684.1280627558222
32,Tina hasn't respected Florence.,Art hasn't respected Florence.,-50.834503173828125,-49.67053270339966,0.0,1.1639704704284668,574.9671430992174,1206.875884660424
33,Phillip can talk to those waitresses.,This pasta can talk to those waitresses.,-53.51544380187988,-57.656991958618164,1.0,4.141548156738281,210.93380844066817,188.9617707641139
34,Matt discovered a lot of spotlights.,Every ladder discovered a lot of spotlights.,-46.53827667236328,-55.23264455795288,1.0,8.6943678855896,336.05827554466657,462.6452244329875
35,Gina talks to Joseph.,Fish talks to Joseph.,-35.47976589202881,-37.75782346725464,1.0,2.27805757522583,369.9227926454431,1903.7191390187531
36,Kendra hasn't attacked some guys.,That window hasn't attacked some guys.,-52.39060401916504,-57.321184158325195,1.0,4.930580139160156,188.49291159614108,583.4860021835085
37,Ella discovered Matt.,This association discovered Matt.,-36.821277141571045,-43.81406784057617,1.0,6.992790699005127,1578.5396529171076,6392.070828029449
38,Valerie isn't passing high schools.,A public park isn't passing high schools.,-51.09643363952637,-54.37838077545166,1.0,3.281947135925293,292.18334980404614,229.9445234746616
39,Carrie isn't listening to Jodi.,That movie theater isn't listening to Jodi.,-43.668131828308105,-53.03798246383667,1.0,9.369850635528564,78.79213504672067,124.16791085868417
40,Russell hasn't escaped from some museum.,That picture hasn't escaped from some museum.,-53.387495040893555,-49.455108642578125,0.0,3.9323863983154297,376.886429266147,140.54263072173464
41,This customer was arguing about Karen.,A report was arguing about Karen.,-46.96741008758545,-49.41856098175049,1.0,2.451150894165039,820.2670947385168,1164.2058106842287
42,Roger will watch that guest.,Some beef will watch that guest.,-48.30198097229004,-56.76795482635498,1.0,8.465973854064941,3134.8298022765803,3326.60596120598
43,Becky tours a lot of banks.,This rug tours a lot of banks.,-42.08647155761719,-47.25442123413086,1.0,5.167949676513672,192.63726117600675,367.5291569945275
44,Chad isn't observing that cashier.,This casserole isn't observing that cashier.,-55.89481163024902,-60.80517244338989,1.0,4.910360813140869,160.99068591330072,107.48173833501751
45,The girls weren't skated around a museum.,All snakes weren't skated around a museum.,-58.84059429168701,-66.46464729309082,1.0,7.624053001403809,210.42829118011144,254.3523747470107
46,Brad hasn't returned to most pedestrians.,This dish hasn't returned to most pedestrians.,-57.42485475540161,-62.99177169799805,1.0,5.5669169425964355,185.0158211960126,190.43564351395503
47,Stacey toured the hill.,Some rice toured the hill.,-41.833824157714844,-47.117857456207275,1.0,5.284033298492432,186.64865880394848,838.0874861198009
48,Jodi boycotted the closets.,Every committee boycotted the closets.,-52.889578342437744,-53.309569358825684,1.0,0.41999101638793945,356.6018223723608,373.6372789053616
49,Laura doesn't bring some boxes.,The painting doesn't bring some boxes.,-50.687225341796875,-52.14142656326294,1.0,1.4542012214660645,564.4789920350642,328.15689760265207
50,Every lady lifts this gate.,This report lifts this gate.,-49.57141828536987,-44.534430503845215,0.0,5.036987781524658,1189.907894611883,579.4396411310428
51,Tanya admires Melanie.,Music admires Melanie.,-38.478230476379395,-39.689852714538574,1.0,1.2116222381591797,243.93213907212507,746.1864130425103
52,Erin wouldn't drive to the hill.,The coat wouldn't drive to the hill.,-48.59898567199707,-52.432260513305664,1.0,3.8332748413085938,129.0111154849705,189.2797446804729
53,Heidi hadn't concealed all socks.,The movie theater hadn't concealed all socks.,-59.205241203308105,-62.35258674621582,1.0,3.147345542907715,372.60695358693823,289.57576624840425
54,Natalie complains about Caroline.,A rabbit complains about Caroline.,-39.76112699508667,-43.762935638427734,1.0,4.0018086433410645,292.9965983720873,237.5473459091878
55,Elaine might flee from Ronald.,That university might flee from Ronald.,-51.36937713623047,-58.78420639038086,1.0,7.414829254150391,614.7232349409255,1553.1273134010014
56,Some associations are admiring Alexander.,The dishes are admiring Alexander.,-48.585357666015625,-47.434667110443115,0.0,1.1506905555725098,1033.5609800947082,876.8895254852878
57,Paula admired Kenneth.,Some river admired Kenneth.,-39.85815191268921,-50.93041133880615,1.0,11.072259426116943,297.0860126664255,1444.8677132051928
58,Brenda dropped by a river.,This book dropped by a river.,-40.72964382171631,-40.833003997802734,1.0,0.10336017608642578,336.47388756154976,341.47903472560347
59,A senator drops by every lake.,The muffin drops by every lake.,-51.311805725097656,-54.345009326934814,1.0,3.033203601837158,610.3153041276313,419.19423044447063
60,Carla can't watch Sara.,The tomato can't watch Sara.,-43.388458251953125,-50.64304161071777,1.0,7.254583358764648,226.6840689862057,277.82866852036284
61,Pamela reveals Dana.,That carriage reveals Dana.,-41.50410461425781,-51.33273124694824,1.0,9.82862663269043,1009.6416743777739,5195.017165822076
62,Steven hasn't talked about Sara.,That window hasn't talked about Sara.,-42.335960388183594,-57.05477428436279,1.0,14.7188138961792,198.7395251550068,566.467305090746
63,Every library isn't praising Alexander.,The tomato isn't praising Alexander.,-53.71632957458496,-50.967373847961426,0.0,2.748955726623535,390.9114500367375,163.48763896130683
64,Tamara hates Julia.,This ice hates Julia.,-37.140400886535645,-44.14112377166748,1.0,7.000722885131836,487.8787024592858,1566.8992758326026
65,Alan messed up some college campus.,A gate messed up some college campus.,-49.93818664550781,-54.639108180999756,1.0,4.700921535491943,514.0257341741104,433.11878477313945
66,Paul fires Russell.,This truck fires Russell.,-35.776466369628906,-44.73122596740723,1.0,8.95475959777832,7662.676332726037,7679.004485696085
67,Beverly wasn't examining books.,The bike wasn't examining books.,-47.19380235671997,-48.55888366699219,1.0,1.3650813102722168,189.3800452349289,220.3972320745954
68,Dawn hadn't forgotten Diana.,Some government hadn't forgotten Diana.,-41.499813079833984,-53.73434829711914,1.0,12.234535217285156,179.01625915418157,826.1641950666857
69,Ella has forgotten Michael.,Spain has forgotten Michael.,-37.62282657623291,-36.522202491760254,0.0,1.1006240844726562,528.7264001291034,1486.8878128954545
70,Alice fires Ruth.,Some plate fires Ruth.,-37.03337860107422,-53.34569454193115,1.0,16.312315940856934,10491.75143992884,43007.89181365869
71,A lot of actors bought mountains.,All horses bought mountains.,-44.98345947265625,-45.838050842285156,1.0,0.8545913696289062,617.8270080937396,9581.698660554237
72,Amelia questioned Valerie.,The lake questioned Valerie.,-38.57359313964844,-41.41234874725342,1.0,2.8387556076049805,619.5120734739824,994.319043569004
73,Pamela hadn't attacked a lot of cashiers.,This coat hadn't attacked a lot of cashiers.,-63.06435585021973,-66.10576057434082,1.0,3.0414047241210938,191.59101838218692,246.8580268261064
74,Leslie hadn't fixed this cart.,That sweater hadn't fixed this cart.,-50.99837636947632,-64.37793731689453,1.0,13.379560947418213,289.017217734894,625.0263017740684
75,Douglas hadn't argued about Samuel.,The carriage hadn't argued about Samuel.,-50.64778518676758,-56.72079420089722,1.0,6.073009014129639,561.702948262944,545.8315800785778
76,Kenneth isn't cleaning a jacket.,Spinach isn't cleaning a jacket.,-47.827739238739014,-53.1224250793457,1.0,5.2946858406066895,203.20051471528464,202.8045095550551
77,Florence hadn't fled from banks.,Every university hadn't fled from banks.,-51.56234359741211,-63.02518272399902,1.0,11.462839126586914,629.7311294737136,1099.705923140305
78,Jill cleaned all ladders.,The door cleaned all ladders.,-49.126773834228516,-47.57793426513672,0.0,1.5488395690917969,464.4466650032199,382.69632254255174
79,Some cashier isn't complaining about these ladies.,The sketch isn't complaining about these ladies.,-54.62737512588501,-51.800575256347656,0.0,2.8267998695373535,143.46986475574306,177.69303260385328
80,Deborah drove to some college campuses.,Some commentary drove to some college campuses.,-46.76037788391113,-55.18221855163574,1.0,8.42184066772461,107.34390957029454,249.1915443514271
81,Theresa visits Patricia.,The nose visits Patricia.,-38.41800546646118,-45.97915315628052,1.0,7.561147689819336,241.8424534157707,712.2652975273254
82,Carl cleans this dress.,Bread cleans this dress.,-42.21043395996094,-43.41430139541626,1.0,1.2038674354553223,1135.777056182211,493.7567843062573
83,Melanie won't notice Carol.,This ice cream won't notice Carol.,-45.34598159790039,-52.602903842926025,1.0,7.256922245025635,289.52675182469414,345.4220814183055
84,Russell was running around that school.,The sweater was running around that school.,-46.376288414001465,-50.774821758270264,1.0,4.398533344268799,753.8429514737412,281.9266306340155
85,Candice can't kiss these people.,Some high school can't kiss these people.,-46.76163625717163,-50.49814701080322,1.0,3.736510753631592,180.50118844028415,155.99355637068425
86,Matt was going to restaurants.,The cucumber was going to restaurants.,-36.726136207580566,-42.575411796569824,1.0,5.849275588989258,455.3301231539481,113.36370867246382
87,Every guest isn't leaving Eva.,Art isn't leaving Eva.,-52.817771911621094,-45.52686309814453,0.0,7.2909088134765625,736.7300102801263,667.6990749593094
88,Dawn can't go to a mall.,Some window can't go to a mall.,-40.43985390663147,-56.157376289367676,1.0,15.717522382736206,39.50196253678114,164.8796850339855
89,Tonya hadn't healed most horses.,This dish hadn't healed most horses.,-64.1216516494751,-61.6025447845459,0.0,2.519106864929199,609.2112970647713,473.5485674104101
90,Kimberley bikes to the Great Lakes.,Every newspaper article bikes to the Great Lakes.,-46.07374572753906,-58.91591548919678,1.0,12.842169761657715,65.92530369263966,211.87411840372937
91,Wayne was attacking Cindy.,Every plane was attacking Cindy.,-40.56480026245117,-47.02899932861328,1.0,6.464199066162109,328.64280637550695,357.31756210079317
92,Emily hadn't questioned that actor.,Some pepper hadn't questioned that actor.,-54.2555046081543,-66.46345710754395,1.0,12.207952499389648,881.7760180956859,1611.3515333003943
93,Deborah can't run around the Great Lakes.,A newspaper article can't run around the Great Lakes.,-51.18962001800537,-56.68458271026611,1.0,5.494962692260742,51.29858035018357,78.28472619171067
94,Aaron messed up these glasses.,That government messed up these glasses.,-43.67928409576416,-51.99231719970703,1.0,8.313033103942871,512.8060625419669,664.5031708753628
95,Lawrence fled from Brad.,Literature fled from Brad.,-45.431013107299805,-45.34672451019287,0.0,0.0842885971069336,8832.581632344212,1915.602394304236
96,These dancers should investigate Caroline.,Glaciers should investigate Caroline.,-51.72714185714722,-51.30381107330322,0.0,0.42333078384399414,1619.0449120076032,1524.033728578296
97,Mitchell can't complain about Peter.,This window can't complain about Peter.,-45.051517486572266,-52.38567924499512,1.0,7.334161758422852,279.06359246225975,337.1847592733245
98,Every doctor wasn't describing a river.,This story wasn't describing a river.,-55.19868564605713,-44.859190464019775,0.0,10.339495182037354,460.9028549524412,146.1092304871492
99,Sally concealed Kirsten.,This beef concealed Kirsten.,-45.6122522354126,-57.6662483215332,1.0,12.053996086120605,675.8938476645147,1350.5686975753063
