,rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
15,The teacher scolded the student because he was talking.,The teacher scolded the student because the classroom was talking.,-36.957438468933105,-47.46179151535034,1.0,10.504353046417236,21.753758323236774,38.50957992810665
16,Ayesha put the towel in the sun because it was wet.,Ayesha put the towel in the sun because the sun was wet.,-55.368717193603516,-65.27567625045776,1.0,9.906959056854248,52.190911522820706,77.61120026069561
17,Raghav carried the box because it was too heavy for his sister.,Raghav carried the box because his sister was too heavy for it.,-52.18175768852234,-60.794126987457275,1.0,8.612369298934937,32.420270046560844,57.566557444341704
18,The monkey dropped the fruit because it was slippery.,The monkey dropped the fruit because the tree was slippery.,-46.84363269805908,-50.710569858551025,1.0,3.8669371604919434,36.72127771801526,37.41918576758772
19,Mehul stopped the bike because it was skidding.,Mehul stopped the bike because the road was skidding.,-52.84298515319824,-59.06357765197754,1.0,6.220592498779297,81.7431566933068,94.005390566247
20,The bottle broke the tile because it fell from the shelf.,The bottle broke the tile because the tile fell from the shelf.,-52.135053634643555,-56.6902174949646,1.0,4.555163860321045,77.06026691233284,78.31866566795554
21,Ria stitched the shirt because it had a tear.,Ria stitched the shirt because the tear had a shirt.,-54.21287155151367,-73.90092658996582,1.0,19.68805503845215,91.62821936989437,294.3256068405996
22,The chef covered the pan because it was splashing oil.,The chef covered the pan because the oil was covering the chef.,-57.5463809967041,-67.30096960067749,1.0,9.754588603973389,120.968689751217,177.15014708400278
23,Lakshya pushed the trolley because it was blocking the exit.,Lakshya pushed the trolley because the exit was blocking it.,-57.27641677856445,-66.72366333007812,1.0,9.447246551513672,35.865507819066764,64.7302709326726
24,The candle melted the toy because it touched it.,The candle melted the toy because the toy touched it.,-54.69611358642578,-58.40957450866699,1.0,3.713460922241211,144.36920795379348,129.99091226898992
25,Arnav mopped the floor because it was sticky.,Arnav mopped the floor because he was sticky.,-52.9849157333374,-59.82298421859741,1.0,6.83806848526001,58.89538584051991,99.66036116470008
26,Simran saved the file because it was important.,Simran saved the file because the importance saved her.,-48.246145248413086,-67.88819122314453,1.0,19.642045974731445,124.53845264955534,478.9775594464104
27,The child cried because the balloon popped.,The child cried because the child popped.,-34.89152455329895,-46.94993591308594,1.0,12.058411359786987,48.271245951919944,353.80361140010973
28,Nisha opened the umbrella because it was raining.,Nisha opened the umbrella because the rain opened her.,-41.62763524055481,-58.09572124481201,1.0,16.468086004257202,24.584736619136386,87.26082605251885
29,The cup fell from the table because it was shaking.,The cup fell from the table because the table was shaking the cup deliberately.,-44.16453695297241,-60.228495597839355,1.0,16.063958644866943,55.42096239776241,55.43621274434041
30,Rohan moved the lamp because it was flickering.,Rohan moved the lamp because he was flickering.,-53.35470914840698,-59.59019231796265,1.0,6.235483169555664,127.79508777643771,225.26786624004475
31,Aditi shifted the crate because it was blocking the path.,Aditi shifted the crate because the path was blocking her.,-55.55367851257324,-67.07716941833496,1.0,11.523490905761719,102.46007488497241,267.6724732001435
32,The ball rolled into the drain because it was sloping.,The ball rolled into the drain because the drain was rolling.,-51.97805213928223,-55.37536811828613,1.0,3.3973159790039062,76.05861894853017,100.94885574816153
33,Sarthak moved the fan because it was too close to the curtain.,Sarthak moved the fan because the curtain was too close to him.,-57.32261657714844,-65.93054962158203,1.0,8.607933044433594,35.969218681247675,61.599844818054684
34,The cat chased the mouse because it ran under the sofa.,The cat chased the mouse because the sofa ran under the mouse.,-47.932931423187256,-69.30144596099854,1.0,21.36851453781128,39.93082456058876,141.18954563818508
35,Meera pressed the button because it wasn’t working properly.,Meera pressed the button because she wasn’t working properly.,-52.658488750457764,-57.9900426864624,1.0,5.331553936004639,57.43494872246129,86.55434775120509
36,The truck splashed the pedestrian because it went through a puddle.,The truck splashed the pedestrian because the pedestrian went through a puddle.,-57.282535552978516,-67.39775848388672,1.0,10.115222930908203,35.879226251498785,42.28024331235234
37,Karan covered the bowl because it was attracting flies.,Karan covered the bowl because the flies were covering the bowl.,-58.4966983795166,-67.73471784591675,1.0,9.238019466400146,130.9381225887695,183.16051714117083
38,The wind blew the papers because they were light.,The wind blew the papers because the wind was light.,-42.14749813079834,-47.95024538040161,1.0,5.8027472496032715,67.67723179448996,78.18776804073718
39,Asha closed the drawer because it was sticking out.,Asha closed the drawer because she was sticking out.,-57.50963830947876,-62.59099197387695,1.0,5.081353664398193,186.44735813418234,295.92030536567563
40,The mechanic fixed the bike because it had a loose chain.,The mechanic fixed the bike because the chain had a loose mechanic.,-46.19460654258728,-61.082167625427246,1.0,14.887561082839966,34.93297664094438,58.682673233396464
41,Piyush dried the bench because it was wet from the rain.,Piyush dried the bench because the rain dried him.,-56.9474515914917,-64.9457015991211,1.0,7.9982500076293945,58.42098244094866,224.11107509842287
42,The clock woke the child because it was too loud.,The clock woke the child because the child was too loud.,-47.95072793960571,-57.062347412109375,1.0,9.111619472503662,78.19119813662103,116.18637905096149
43,Sana pushed the trolley because it was blocking the aisle.,Sana pushed the trolley because the aisle was blocking her.,-55.78710079193115,-63.35097312927246,1.0,7.563872337341309,41.22892416157477,68.26506952667152
44,The dog avoided the bucket because it was slippery.,The dog avoided the bucket because the bucket was avoiding the dog.,-48.72092628479004,-52.685832023620605,1.0,3.9649057388305664,57.978786311893366,57.55588043375636
45,Ananya folded the blanket because it was wrinkled.,Ananya folded the blanket because she was wrinkled.,-51.60138702392578,-57.983110427856445,1.0,6.381723403930664,73.70831280669374,125.4523329119213
46,The laptop shut down because it overheated.,The laptop shut down because the table overheated.,-33.99872541427612,-45.666927337646484,1.0,11.668201923370361,29.960281109365454,63.53169078441225
47,Ravi cleaned the mirror because it was dusty.,Ravi cleaned the mirror because the dust cleaned it.,-46.4832444190979,-59.34767484664917,1.0,12.86443042755127,68.42576894521038,220.3557240157754
48,The bus stopped because it reached the signal.,The bus stopped because the signal reached it.,-43.12943172454834,-49.14931297302246,1.0,6.019881248474121,120.56138960512894,235.34082316062802
49,The bulb fused because it received a voltage spike.,The bulb fused because the spike received a bulb.,-48.68928813934326,-66.65019702911377,1.0,17.960908889770508,42.32296543762071,116.8309898455919
