,rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
13,Kabir threw the ball because it slipped from his hand.,Kabir threw the ball because his hand slipped from the ball.,-58.63178825378418,-70.5931043624878,1.0,11.961316108703613,90.93432639279058,154.83570659578902
14,Ritu fed the cat because it was hungry.,Ritu fed the cat because the food was hungry.,-51.935129165649414,-66.90927267074585,1.0,14.974143505096436,180.10011965542364,438.1937446189773
15,The teacher scolded the student because he was talking.,The teacher scolded the student because the classroom was talking.,-42.03543949127197,-59.65239715576172,1.0,17.616957664489746,33.213396080469025,98.36115256076748
16,Ayesha put the towel in the sun because it was wet.,Ayesha put the towel in the sun because the sun was wet.,-63.092939376831055,-76.2905216217041,1.0,13.197582244873047,90.61670037540998,161.74722462014176
17,Raghav carried the box because it was too heavy for his sister.,Raghav carried the box because his sister was too heavy for it.,-60.961031913757324,-79.9264669418335,1.0,18.965435028076172,58.21067715893867,206.11435362514007
18,The monkey dropped the fruit because it was slippery.,The monkey dropped the fruit because the tree was slippery.,-50.0289249420166,-55.01695775985718,1.0,4.988032817840576,148.84306475479946,148.64213143364807
19,Mehul stopped the bike because it was skidding.,Mehul stopped the bike because the road was skidding.,-55.69976806640625,-67.98222064971924,1.0,12.282452583312988,103.71506078417231,186.6810579854504
20,The bottle broke the tile because it fell from the shelf.,The bottle broke the tile because the tile fell from the shelf.,-61.30716133117676,-69.66978597640991,1.0,8.362624645233154,165.49320075658378,212.55787535143622
21,Ria stitched the shirt because it had a tear.,Ria stitched the shirt because the tear had a shirt.,-63.5645866394043,-85.26802825927734,1.0,21.703441619873047,323.30585199925116,1218.8572538590986
22,The chef covered the pan because it was splashing oil.,The chef covered the pan because the oil was covering the chef.,-63.57245635986328,-73.77641582489014,1.0,10.203959465026855,199.87750355022246,291.52008615447505
23,Lakshya pushed the trolley because it was blocking the exit.,Lakshya pushed the trolley because the exit was blocking it.,-58.953620195388794,-70.15332698822021,1.0,11.199706792831421,50.91926536565822,107.43526346872322
24,The candle melted the toy because it touched it.,The candle melted the toy because the toy touched it.,-62.82875061035156,-71.22410726547241,1.0,8.39535665512085,535.3255470718495,648.6665811969467
25,Arnav mopped the floor because it was sticky.,Arnav mopped the floor because he was sticky.,-61.43878221511841,-64.07891082763672,1.0,2.6401286125183105,266.4918969594054,338.7815586039734
26,Simran saved the file because it was important.,Simran saved the file because the importance saved her.,-58.60945224761963,-80.33016729354858,1.0,21.720715045928955,351.0558138920531,1484.3651942640279
27,The child cried because the balloon popped.,The child cried because the child popped.,-46.10361099243164,-57.76552200317383,1.0,11.661911010742188,318.2863260512086,1367.4326059282948
28,Nisha opened the umbrella because it was raining.,Nisha opened the umbrella because the rain opened her.,-43.54800224304199,-64.7722225189209,1.0,21.224220275878906,77.85127099135843,360.82167649333064
29,The cup fell from the table because it was shaking.,The cup fell from the table because the table was shaking the cup deliberately.,-49.167994022369385,-68.32237958908081,1.0,19.154385566711426,87.34079395388694,95.09014210140099
30,Rohan moved the lamp because it was flickering.,Rohan moved the lamp because he was flickering.,-58.896146297454834,-66.16876459121704,1.0,7.272618293762207,211.49368036107614,409.6660172092025
31,Aditi shifted the crate because it was blocking the path.,Aditi shifted the crate because the path was blocking her.,-63.36276626586914,-74.74715995788574,1.0,11.384393692016602,196.41514817678524,507.212473909364
32,The ball rolled into the drain because it was sloping.,The ball rolled into the drain because the drain was rolling.,-60.79454040527344,-60.8829402923584,1.0,0.08839988708496094,158.57246804042254,159.74493032455743
33,Sarthak moved the fan because it was too close to the curtain.,Sarthak moved the fan because the curtain was too close to him.,-67.3958158493042,-81.38715505599976,1.0,13.991339206695557,89.39407367144547,227.1953765769484
34,The cat chased the mouse because it ran under the sofa.,The cat chased the mouse because the sofa ran under the mouse.,-57.8620719909668,-81.55986976623535,1.0,23.697797775268555,124.19331363467182,530.5085823977437
35,Meera pressed the button because it wasn’t working properly.,Meera pressed the button because she wasn’t working properly.,-57.639169692993164,-65.54196739196777,1.0,7.902797698974609,121.90769269291565,235.52819163563984
36,The truck splashed the pedestrian because it went through a puddle.,The truck splashed the pedestrian because the pedestrian went through a puddle.,-68.22030639648438,-77.98553466796875,1.0,9.765228271484375,130.6966551279025,181.09751526019068
37,Karan covered the bowl because it was attracting flies.,Karan covered the bowl because the flies were covering the bowl.,-71.81555700302124,-79.18138313293457,1.0,7.36582612991333,684.4988743722683,441.80810031128897
38,The wind blew the papers because they were light.,The wind blew the papers because the wind was light.,-51.70207977294922,-56.56391143798828,1.0,4.8618316650390625,175.95142758092467,171.08726827111326
39,Asha closed the drawer because it was sticking out.,Asha closed the drawer because she was sticking out.,-56.399085998535156,-67.05615949630737,1.0,10.657073497772217,168.54278529588518,444.08434014045724
40,The mechanic fixed the bike because it had a loose chain.,The mechanic fixed the bike because the chain had a loose mechanic.,-50.81668281555176,-66.35834264755249,1.0,15.541659832000732,69.04259051138243,164.7596748296053
41,Piyush dried the bench because it was wet from the rain.,Piyush dried the bench because the rain dried him.,-66.87718486785889,-76.70025444030762,1.0,9.82306957244873,118.74065870403399,596.8631573956495
42,The clock woke the child because it was too loud.,The clock woke the child because the child was too loud.,-58.25047159194946,-70.18660926818848,1.0,11.936137676239014,199.43680464471603,346.8471197179003
43,Sana pushed the trolley because it was blocking the aisle.,Sana pushed the trolley because the aisle was blocking her.,-67.63342189788818,-73.69213581085205,1.0,6.058713912963867,181.73887702382518,289.63625181716384
44,The dog avoided the bucket because it was slippery.,The dog avoided the bucket because the bucket was avoiding the dog.,-50.67042350769043,-58.27715015411377,1.0,7.60672664642334,158.70424103432788,88.48718189352118
45,Ananya folded the blanket because it was wrinkled.,Ananya folded the blanket because she was wrinkled.,-64.33390140533447,-73.0463399887085,1.0,8.712438583374023,346.72657165654834,765.5360922713553
46,The laptop shut down because it overheated.,The laptop shut down because the table overheated.,-40.686861991882324,-59.41174507141113,1.0,18.72488307952881,91.90564413653235,380.381427982521
47,Ravi cleaned the mirror because it was dusty.,Ravi cleaned the mirror because the dust cleaned it.,-57.265634536743164,-75.9880838394165,1.0,18.72244930267334,306.91273417390494,1000.2523746241179
48,The bus stopped because it reached the signal.,The bus stopped because the signal reached it.,-49.43150281906128,-59.82308864593506,1.0,10.39158582687378,242.83670027745353,770.4770354265182
49,The bulb fused because it received a voltage spike.,The bulb fused because the spike received a bulb.,-61.224069595336914,-79.61846351623535,1.0,18.394393920898438,455.96085408916514,2869.365923091009
