rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
Denise wasn't referencing Homer.,Rice wasn't referencing Homer.,-41.83201503753662,-45.24740695953369,1.0,3.4153919219970703,1066.3559984622225,1884.154566156846
Vanessa visits Judy.,The ice cream visits Judy.,-30.205638885498047,-45.1005220413208,1.0,14.894883155822754,1903.424138569873,8267.640246166919
Beverly would scan a movie.,A pepper would scan a movie.,-44.45930194854736,-53.249284744262695,1.0,8.789982795715332,573.2539715209805,7150.094059028804
Liam has respected many waiters.,That banana has respected many waiters.,-43.39301586151123,-50.29258632659912,1.0,6.899570465087891,492.25765376478745,1319.034342982128
Some person hadn't passed all high schools.,That casserole hadn't passed all high schools.,-51.69450759887695,-54.84376907348633,1.0,3.149261474609375,640.221013196582,240.89879495564273
Carlos has sounded like all hospitals.,This ice has sounded like all hospitals.,-46.51306629180908,-54.20413112640381,1.0,7.691064834594727,2326.633647343693,2306.4095887574927
Wendy walked through some schools.,The spotlight walked through some schools.,-34.76973104476929,-45.6201868057251,1.0,10.85045576095581,143.61045135179037,2004.9300826188517
Steve hasn't returned to a dancer.,The nose hasn't returned to a dancer.,-41.12723636627197,-50.96308135986328,1.0,9.835844993591309,356.13842191967217,584.2828337650474
Anne wasn't thinking about Paula.,Art wasn't thinking about Paula.,-32.5511999130249,-37.99486255645752,1.0,5.443662643432617,227.0567498336901,562.5483538268793
Some women were scanning the essay.,A lot of dishes were scanning the essay.,-36.500487327575684,-50.17228698730469,1.0,13.671799659729004,438.52400536771097,529.2896758655507
Victoria wouldn't insult a man.,That unicycle wouldn't insult a man.,-31.59675121307373,-47.01908874511719,1.0,15.422337532043457,193.6640975007694,356.8751829803422
Peter isn't thinking about a lot of schools.,Some turtle isn't thinking about a lot of schools.,-39.74182748794556,-50.140042304992676,1.0,10.39821481704712,82.74458795581744,150.50619264710716
Samuel shouldn't hate Susan.,Art shouldn't hate Susan.,-34.953346252441406,-39.08523082733154,1.0,4.131884574890137,338.8500600300317,2482.561491161931
Karla drives to every grocery store.,This chair drives to every grocery store.,-36.00274658203125,-44.561333656311035,1.0,8.558587074279785,171.2714135098978,581.6708907895537
Omar isn't talking to Erin.,A legislature isn't talking to Erin.,-34.79447793960571,-53.34321355819702,1.0,18.54873561859131,144.11905166153508,2039.4982072493253
Galileo had talked to Stephanie.,This car had talked to Stephanie.,-36.5833625793457,-41.823486328125,1.0,5.240123748779297,444.6231620525445,1064.8413018445003
Mitchell criticized Amy.,Some art gallery criticized Amy.,-31.999385833740234,-39.895453453063965,1.0,7.8960676193237305,2980.500321223635,2919.2753323600186
Clyde couldn't forget Phillip.,That sketch couldn't forget Phillip.,-40.050689697265625,-48.15835762023926,1.0,8.107667922973633,305.3708988508995,3060.681665700847
Most companies have remembered Jesus.,These chairs have remembered Jesus.,-36.03339433670044,-41.20727062225342,1.0,5.1738762855529785,1348.4065855749595,3795.0547797818795
Tina hasn't respected Florence.,Art hasn't respected Florence.,-43.75173282623291,-41.05969429016113,0.0,2.6920385360717773,1468.4393821587596,3684.679615739751
Phillip can talk to those waitresses.,This pasta can talk to those waitresses.,-41.763607025146484,-57.6396598815918,1.0,15.876052856445312,185.01758565279422,1346.087459183629
Matt discovered a lot of spotlights.,Every ladder discovered a lot of spotlights.,-37.35038423538208,-52.77159881591797,1.0,15.421214580535889,207.63239335676306,732.4901194463076
Gina talks to Joseph.,Fish talks to Joseph.,-31.198420524597168,-28.297771453857422,0.0,2.900649070739746,512.6965270485002,1181.3851246033194
Kendra hasn't attacked some guys.,That window hasn't attacked some guys.,-47.987356662750244,-47.686728954315186,0.0,0.3006277084350586,948.9315487237008,909.0406845134696
Ella discovered Matt.,This association discovered Matt.,-30.441783905029297,-36.811553955078125,1.0,6.369770050048828,2019.1784025714448,9925.758132354265
Valerie isn't passing high schools.,A public park isn't passing high schools.,-41.98784017562866,-52.91705322265625,1.0,10.929213047027588,402.7285985043566,745.9299185527251
Carrie isn't listening to Jodi.,That movie theater isn't listening to Jodi.,-37.90260314941406,-46.315505504608154,1.0,8.412902355194092,114.18562272023787,171.77187327214529
Russell hasn't escaped from some museum.,That picture hasn't escaped from some museum.,-43.3685417175293,-46.610191345214844,1.0,3.241649627685547,226.1204257581472,339.0928345604777
This customer was arguing about Karen.,A report was arguing about Karen.,-47.25226879119873,-49.398284912109375,1.0,2.1460161209106445,2631.6811246746724,3763.284850155521
Roger will watch that guest.,Some beef will watch that guest.,-38.30235719680786,-48.36868858337402,1.0,10.066331386566162,2122.7579443687423,3169.877102616197
Becky tours a lot of banks.,This rug tours a lot of banks.,-41.076194763183594,-46.445061683654785,1.0,5.368866920471191,169.783542341836,761.2857742059173
Chad isn't observing that cashier.,This casserole isn't observing that cashier.,-49.88112163543701,-60.33273410797119,1.0,10.45161247253418,1243.7353622373437,815.3660252099596
The girls weren't skated around a museum.,All snakes weren't skated around a museum.,-52.8515510559082,-59.385056018829346,1.0,6.533504962921143,355.0982677619872,733.8756188501557
Brad hasn't returned to most pedestrians.,This dish hasn't returned to most pedestrians.,-46.501561641693115,-53.625038146972656,1.0,7.123476505279541,767.4552983151718,814.9524503186897
Stacey toured the hill.,Some rice toured the hill.,-34.47498321533203,-42.30794429779053,1.0,7.832961082458496,987.3224104330401,4729.566648133729
Jodi boycotted the closets.,Every committee boycotted the closets.,-45.606170654296875,-52.146257400512695,1.0,6.54008674621582,2000.251981553803,5949.383621125855
Laura doesn't bring some boxes.,The painting doesn't bring some boxes.,-32.142130851745605,-49.37503528594971,1.0,17.2329044342041,212.0923533079188,1156.9892888070417
Every lady lifts this gate.,This report lifts this gate.,-43.57093334197998,-37.39503860473633,0.0,6.175894737243652,6088.680486813947,1770.4830907351384
Tanya admires Melanie.,Music admires Melanie.,-30.639748573303223,-33.23598861694336,1.0,2.5962400436401367,458.49515045469826,4060.2391477016768
Erin wouldn't drive to the hill.,The coat wouldn't drive to the hill.,-38.733638763427734,-51.08702850341797,1.0,12.353389739990234,126.68514632219772,593.4058480276657
Heidi hadn't concealed all socks.,The movie theater hadn't concealed all socks.,-53.113986015319824,-60.50055694580078,1.0,7.386570930480957,1973.7928749203895,1924.7851271368756
Natalie complains about Caroline.,A rabbit complains about Caroline.,-34.068543434143066,-38.62476348876953,1.0,4.556220054626465,292.39059787757236,2264.1454857616986
Elaine might flee from Ronald.,That university might flee from Ronald.,-40.37292766571045,-50.213178634643555,1.0,9.840250968933105,836.1610830671774,4310.732428960512
Some associations are admiring Alexander.,The dishes are admiring Alexander.,-46.18044662475586,-47.8641357421875,1.0,1.6836891174316406,2201.1629297717004,2914.2155573568753
Paula admired Kenneth.,Some river admired Kenneth.,-35.088890075683594,-43.38728713989258,1.0,8.298397064208984,6452.497337235305,51370.624740661646
Brenda dropped by a river.,This book dropped by a river.,-39.79069375991821,-36.90366268157959,0.0,2.887031078338623,294.23678161737655,469.00360122265886
A senator drops by every lake.,The muffin drops by every lake.,-47.5508508682251,-53.22584104537964,1.0,5.674990177154541,2765.956571779171,2005.5860231572653
Carla can't watch Sara.,The tomato can't watch Sara.,-34.19582462310791,-51.54843521118164,1.0,17.35261058807373,298.6594926434519,5385.179210072683
Pamela reveals Dana.,That carriage reveals Dana.,-36.82168245315552,-44.24994659423828,1.0,7.428264141082764,1578.6676181851933,63734.84113067534
Steven hasn't talked about Sara.,That window hasn't talked about Sara.,-35.575401306152344,-45.765079498291016,1.0,10.189678192138672,375.86632103996385,690.8125405401153
Every library isn't praising Alexander.,The tomato isn't praising Alexander.,-48.696624755859375,-52.70603942871094,1.0,4.0094146728515625,3347.9521050839585,6531.160369906525
Tamara hates Julia.,This ice hates Julia.,-26.137874603271484,-37.8709831237793,1.0,11.733108520507812,688.4678702786581,12935.694451251027
Alan messed up some college campus.,A gate messed up some college campus.,-42.14908504486084,-53.00219106674194,1.0,10.853106021881104,1124.2231103144466,1942.5203938732425
Paul fires Russell.,This truck fires Russell.,-34.321781158447266,-41.00247573852539,1.0,6.680694580078125,93022.22475844147,28300.052383349008
Beverly wasn't examining books.,The bike wasn't examining books.,-40.204975605010986,-44.07230758666992,1.0,3.8673319816589355,312.1762535636402,1549.0306044552192
Dawn hadn't forgotten Diana.,Some government hadn't forgotten Diana.,-41.95617198944092,-47.29973602294922,1.0,5.343564033508301,1088.651802887714,2652.5834666555493
Ella has forgotten Michael.,Spain has forgotten Michael.,-32.3151159286499,-29.125192642211914,0.0,3.1899232864379883,640.9959801793725,1452.8728636783437
Alice fires Ruth.,Some plate fires Ruth.,-35.917510986328125,-54.503631591796875,1.0,18.58612060546875,158340.59589533598,827287.783161607
A lot of actors bought mountains.,All horses bought mountains.,-41.86977481842041,-38.22407531738281,0.0,3.6456995010375977,1073.0880544642885,14129.4821968044
Amelia questioned Valerie.,The lake questioned Valerie.,-32.92099380493164,-43.71259689331055,1.0,10.791603088378906,3752.766015617672,55723.053285228896
Pamela hadn't attacked a lot of cashiers.,This coat hadn't attacked a lot of cashiers.,-55.12595319747925,-58.368515968322754,1.0,3.242562770843506,150.1222993175449,342.698686759568
Leslie hadn't fixed this cart.,That sweater hadn't fixed this cart.,-42.82301616668701,-56.89235019683838,1.0,14.069334030151367,453.7624113752748,3386.2506980722414
Douglas hadn't argued about Samuel.,The carriage hadn't argued about Samuel.,-40.52432203292847,-53.541128635406494,1.0,13.016806602478027,326.74787918457486,2097.985048120629
Kenneth isn't cleaning a jacket.,Spinach isn't cleaning a jacket.,-37.92255687713623,-42.1906418800354,1.0,4.26808500289917,225.31696074180616,414.5669802032177
Florence hadn't fled from banks.,Every university hadn't fled from banks.,-42.34949064254761,-53.997544288635254,1.0,11.648053646087646,424.08217043431733,2239.336506185033
Jill cleaned all ladders.,The door cleaned all ladders.,-42.9182653427124,-43.649139404296875,1.0,0.7308740615844727,1277.9905285827392,1443.5441259863485
Some cashier isn't complaining about these ladies.,The sketch isn't complaining about these ladies.,-54.62567901611328,-57.326839447021484,1.0,2.701160430908203,923.5360886608088,1294.467808367925
Deborah drove to some college campuses.,Some commentary drove to some college campuses.,-36.625250816345215,-49.812628746032715,1.0,13.1873779296875,187.20021041400864,1231.6251308222018
Theresa visits Patricia.,The nose visits Patricia.,-37.84254455566406,-42.432640075683594,1.0,4.590095520019531,12844.052451234811,40463.678312929966
Carl cleans this dress.,Bread cleans this dress.,-38.121665954589844,-39.55838680267334,1.0,1.436720848083496,13772.325907067698,2728.96408612237
Melanie won't notice Carol.,This ice cream won't notice Carol.,-38.10538387298584,-47.84256362915039,1.0,9.73717975616455,573.0066442311232,929.5047775121345
Russell was running around that school.,The sweater was running around that school.,-35.69705867767334,-48.431886196136475,1.0,12.734827518463135,163.95300159219352,1011.1472791959785
Candice can't kiss these people.,Some high school can't kiss these people.,-50.338722229003906,-45.648841857910156,0.0,4.68988037109375,540.4165756945238,300.69763718214006
Matt was going to restaurants.,The cucumber was going to restaurants.,-29.34115171432495,-41.05068111419678,1.0,11.709529399871826,353.6226354035532,936.1541805288
Every guest isn't leaving Eva.,Art isn't leaving Eva.,-46.251877784729004,-37.898526191711426,0.0,8.353351593017578,2227.524810277904,1958.0517217462007
Dawn can't go to a mall.,Some window can't go to a mall.,-38.734344482421875,-50.84675979614258,1.0,12.112415313720703,126.69632232938989,575.8487126328523
Tonya hadn't healed most horses.,This dish hadn't healed most horses.,-55.0282621383667,-54.733582496643066,0.0,0.2946796417236328,2594.580966976869,2487.623743201607
Kimberley bikes to the Great Lakes.,Every newspaper article bikes to the Great Lakes.,-40.26122283935547,-46.84886932373047,1.0,6.587646484375,153.3392604105606,349.36201102291415
Wayne was attacking Cindy.,Every plane was attacking Cindy.,-31.611745357513428,-43.12459945678711,1.0,11.512854099273682,556.8796072005283,5568.716588370405
Emily hadn't questioned that actor.,Some pepper hadn't questioned that actor.,-42.000203132629395,-57.874749183654785,1.0,15.87454605102539,1096.6702860530997,3896.4505874995393
Deborah can't run around the Great Lakes.,A newspaper article can't run around the Great Lakes.,-53.789762020111084,-55.96580505371094,1.0,2.1760430335998535,394.114006663721,269.50326501821814
Aaron messed up these glasses.,That government messed up these glasses.,-34.690775871276855,-43.019288063049316,1.0,8.328512191772461,1030.8666902551133,1299.6903773869585
Lawrence fled from Brad.,Literature fled from Brad.,-31.8581485748291,-38.44208478927612,1.0,6.5839362144470215,585.0104527177517,2182.91617725878
These dancers should investigate Caroline.,Glaciers should investigate Caroline.,-44.382057189941406,-48.82042121887207,1.0,4.438364028930664,7161.046711221734,3417.7470983311746
Mitchell can't complain about Peter.,This window can't complain about Peter.,-36.56518602371216,-44.74566698074341,1.0,8.18048095703125,185.60077637298494,597.1916837141688
Every doctor wasn't describing a river.,This story wasn't describing a river.,-48.00261402130127,-38.636765480041504,0.0,9.365848541259766,951.0021171299057,249.51971390568886
Sally concealed Kirsten.,This beef concealed Kirsten.,-40.11006832122803,-55.942931175231934,1.0,15.832862854003906,3047.3074128933586,72300.4935865209
