rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
Rohan moved the lamp because it was flickering.,Rohan moved the lamp because he was flickering.,-43.738861083984375,-47.10116386413574,1.0,3.362302780151367,79.35140144653037,111.06508562048448
Aditi shifted the crate because it was blocking the path.,Aditi shifted the crate because the path was blocking her.,-51.220213413238525,-63.74015951156616,1.0,12.519946098327637,105.25469057125608,328.50759424311724
The ball rolled into the drain because it was sloping.,The ball rolled into the drain because the drain was rolling.,-46.47140598297119,-52.05055093765259,1.0,5.5791449546813965,68.35216727679143,113.507426563606
Sarthak moved the fan because it was too close to the curtain.,Sarthak moved the fan because the curtain was too close to him.,-54.40829133987427,-61.675049781799316,1.0,7.266758441925049,48.730568556757646,81.88867465529319
The cat chased the mouse because it ran under the sofa.,The cat chased the mouse because the sofa ran under the mouse.,-46.694615840911865,-61.4117431640625,1.0,14.717127323150635,69.75332406742264,166.94180250252654
Meera pressed the button because it wasn’t working properly.,Meera pressed the button because she wasn’t working properly.,-43.599058866500854,-49.06342554092407,1.0,5.464366674423218,52.64392282781953,86.51444660880317
The truck splashed the pedestrian because it went through a puddle.,The truck splashed the pedestrian because the pedestrian went through a puddle.,-52.07988500595093,-62.46990776062012,1.0,10.39002275466919,54.934688646053075,86.67246713735283
Karan covered the bowl because it was attracting flies.,Karan covered the bowl because the flies were covering the bowl.,-58.089423179626465,-66.90246391296387,1.0,8.813040733337402,333.2664492606562,263.80371585944744
The wind blew the papers because they were light.,The wind blew the papers because the wind was light.,-42.482555866241455,-45.580148696899414,1.0,3.097592830657959,112.20011130799155,95.3939223774868
Asha closed the drawer because it was sticking out.,Asha closed the drawer because she was sticking out.,-55.33839225769043,-56.85603141784668,1.0,1.51763916015625,253.11380906166232,294.5954743177207
The mechanic fixed the bike because it had a loose chain.,The mechanic fixed the bike because the chain had a loose mechanic.,-45.653934955596924,-60.034446716308594,1.0,14.38051176071167,63.45669617316663,148.83979999102036
Piyush dried the bench because it was wet from the rain.,Piyush dried the bench because the rain dried him.,-47.748279094696045,-60.06576490402222,1.0,12.317485809326172,39.367655223737515,235.2206670286358
The clock woke the child because it was too loud.,The clock woke the child because the child was too loud.,-38.79508972167969,-45.76535367965698,1.0,6.970263957977295,48.400443270786354,64.10271368119946
Sana pushed the trolley because it was blocking the aisle.,Sana pushed the trolley because the aisle was blocking her.,-45.401493072509766,-53.44965934753418,1.0,8.048166275024414,43.96780915478626,85.9820263913229
The dog avoided the bucket because it was slippery.,The dog avoided the bucket because the bucket was avoiding the dog.,-42.28720951080322,-51.814767837524414,1.0,9.527558326721191,109.7910303057096,75.03069674952695
Ananya folded the blanket because it was wrinkled.,Ananya folded the blanket because she was wrinkled.,-50.02640724182129,-55.37880897521973,1.0,5.3524017333984375,148.8055952505259,254.1388821030115
The laptop shut down because it overheated.,The laptop shut down because the table overheated.,-36.475433349609375,-54.72325658798218,1.0,18.247823238372803,95.52893335802626,437.18735933465183
Ravi cleaned the mirror because it was dusty.,Ravi cleaned the mirror because the dust cleaned it.,-38.923444747924805,-50.612192153930664,1.0,11.68874740600586,75.55245583006999,157.7827702823475
The bus stopped because it reached the signal.,The bus stopped because the signal reached it.,-36.08605194091797,-42.05669403076172,1.0,5.97064208984375,90.99062621773177,191.9215613357708
The bulb fused because it received a voltage spike.,The bulb fused because the spike received a bulb.,-58.877328872680664,-75.45001602172852,1.0,16.57268714904785,693.6208116633655,4373.57098539155
