rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
A lot of computers aren't bought by the senators.,A lot of computers aren't bought by the gate.,-53.66671085357666,-48.91579627990723,0.0,4.750914573669434,214.14879675798,133.1637572002089
Those schools are cleaned by the customers.,Those schools are cleaned by the socks.,-41.61366939544678,-45.013580322265625,1.0,3.3999109268188477,381.7667857395914,620.4912323750481
Chad wasn't forgotten by the teacher.,Chad wasn't forgotten by the brochure.,-41.593238830566406,-50.15447998046875,1.0,8.561241149902344,181.11910505315063,528.1128529727237
Deanna was hired by the offspring.,Deanna was hired by the candles.,-49.68425130844116,-44.354766845703125,0.0,5.329484462738037,1209.2434400990392,564.7568382172444
Lisa wasn't cured by the ladies.,Lisa wasn't cured by the deer.,-41.37248229980469,-40.158833026885986,0.0,1.2136492729187012,368.8369270543829,310.125218540833
Valerie was hugged by the pedestrian.,Valerie was hugged by the diagnoses.,-40.72180986404419,-47.30925703048706,1.0,6.587447166442871,336.09753788094497,861.3193056309457
Nina isn't escaped from by some customer.,Nina isn't escaped from by some movies.,-59.21454048156738,-59.3173828125,1.0,0.10284233093261719,720.1023731553885,728.3781225770946
A lot of mountains were ascended by the customer.,A lot of mountains were ascended by the dog.,-49.91091251373291,-46.104936599731445,0.0,3.805975914001465,147.0968555895717,100.53376688501747
Tamara was praised by some waitress.,Tamara was praised by some cups.,-40.10593795776367,-42.29944610595703,1.0,2.1935081481933594,307.7906081948478,421.0611258293371
William is discovered by some students.,William is discovered by some pie.,-36.925140380859375,-44.94411563873291,1.0,8.018975257873535,470.6854626876907,1791.28038101557
Mitchell was remembered by some men.,Mitchell was remembered by some jacket.,-38.54639291763306,-46.68308115005493,1.0,8.136688232421875,246.3190285270729,787.6167336061369
Rachel isn't investigated by the dancer.,Rachel isn't investigated by the books.,-43.439034938812256,-41.76585245132446,0.0,1.673182487487793,495.504492253232,390.1574400856947
Grace was returned to by some cashiers.,Grace was returned to by some theses.,-46.912017822265625,-51.89463806152344,1.0,4.9826202392578125,352.1306346037861,656.438990316629
Michael is loved by some offspring.,Michael is loved by some bicycle.,-35.66015338897705,-40.16596698760986,1.0,4.5058135986328125,381.2132379269727,807.8107665424315
Nancy wasn't attacked by some actor.,Nancy wasn't attacked by some screens.,-43.750213623046875,-47.38053894042969,1.0,3.6303253173828125,237.16988599337043,373.3690600308851
That company wasn't questioned by the customer.,That company wasn't questioned by the face.,-42.14765167236328,-50.82056427001953,1.0,8.67291259765625,194.116104925848,573.9662138808488
Jill isn't returned to by the doctors.,Jill isn't returned to by the sock.,-45.51495838165283,-54.23423194885254,1.0,8.719273567199707,157.15264559817888,414.066161769664
Ruth was listened to by the senator.,Ruth was listened to by the phenomena.,-39.78289031982422,-46.0562744140625,1.0,6.273384094238281,144.43958019568325,316.40856375536106
Sabrina was listened to by some adult.,Sabrina was listened to by some organization.,-40.8943977355957,-41.500362396240234,1.0,0.6059646606445312,165.96878308202153,179.02855164722334
That library was toured by the dancers.,That library was toured by the apples.,-43.41487216949463,-44.70927429199219,1.0,1.2944021224975586,493.79704645820607,594.0949675241537
Rose isn't seen by the waiters.,Rose isn't seen by the spotlights.,-36.43621826171875,-38.77238845825195,1.0,2.336170196533203,95.06180725312414,127.30026118398631
All closets were bought by the patient.,All closets were bought by the peppers.,-45.09073495864868,-48.0285758972168,1.0,2.9378409385681152,627.3681726576604,954.5357801107654
Randolf was cared for by the waiter.,Randolf was cared for by the drawing.,-43.943092346191406,-50.1961669921875,1.0,6.253074645996094,242.95750300028305,530.8719662650858
Janet was fired by some offspring.,Janet was fired by some scarves.,-49.66685104370117,-42.14546203613281,0.0,7.521389007568359,1206.2412935134378,194.06298173917514
Russell wasn't referenced by some girl.,Russell wasn't referenced by some hat.,-44.43531036376953,-51.07096862792969,1.0,6.635658264160156,258.375459254028,592.2157899347081
Carmen is talked about by the waiters.,Carmen is talked about by the essay.,-45.241193771362305,-46.852166175842285,1.0,1.6109724044799805,92.2146837032272,182.32599055435222
A story wasn't scanned by the doctor.,A story wasn't scanned by the newspaper article.,-48.07344055175781,-53.4610390663147,1.0,5.387598514556885,407.14934899070954,379.97879624667866
Sherry wasn't criticized by some customers.,Sherry wasn't criticized by some casseroles.,-47.349403381347656,-59.785118103027344,1.0,12.435714721679688,371.91875231690943,394.85231554899775
Joseph isn't praised by the pedestrians.,Joseph isn't praised by the hypothesis.,-42.06625986099243,-45.215564250946045,1.0,3.1493043899536133,407.2656578194837,638.6562256384011
Gregory wasn't helped by some teenager.,Gregory wasn't helped by some legislature.,-46.85350036621094,-47.506195068359375,1.0,0.6526947021484375,349.564308359501,379.27987292265897
Every student was listened to by some guys.,Every student was listened to by some rabbit.,-38.47344207763672,-43.1118278503418,1.0,4.638385772705078,122.63105068983735,218.97957952539736
Mitchell isn't hated by some man.,Mitchell isn't hated by some brochures.,-42.46659851074219,-47.1967077255249,1.0,4.730109214782715,202.01153785069422,112.13132987862308
Those stairs aren't climbed down by the cashiers.,Those stairs aren't climbed down by the dress.,-50.433592796325684,-50.992990493774414,1.0,0.5593976974487305,154.98979555648498,288.84431271916867
Some mushrooms were brought by the actors.,Some mushrooms were brought by the carts.,-41.88089847564697,-43.2977032661438,1.0,1.4168047904968262,396.62271807128445,485.60045701410706
Most children aren't listened to by some girls.,Most children aren't listened to by some fungus.,-49.99479675292969,-57.071983337402344,1.0,7.077186584472656,258.5211262700372,567.5514930740497
Teresa is attacked by some child.,Teresa is attacked by some cacti.,-44.44179153442383,-42.335304737091064,0.0,2.1064867973327637,571.8217758007737,110.37931460351365
A hospital is exited by some adults.,A hospital is exited by some coats.,-42.61337184906006,-46.814255714416504,1.0,4.200883865356445,440.3740810283117,802.515216620451
These actresses were referenced by some lady.,These actresses were referenced by some box.,-43.988797187805176,-52.30437469482422,1.0,8.315577507019043,535.9891315853225,1758.2135213395627
Stacey wasn't fired by some guest.,Stacey wasn't fired by some geese.,-55.31261444091797,-55.21657705307007,0.0,0.09603738784790039,1006.3415491487024,461.8200107810104
A mall is explored by the people.,A mall is explored by the beef.,-43.008591175079346,-52.284597873687744,1.0,9.276006698608398,465.95285225227445,1753.2531212307508
The women were kissed by some teenagers.,The women were kissed by some glasses.,-41.914490699768066,-46.034194469451904,1.0,4.119703769683838,398.53064082710915,717.887948034407
The commentaries weren't examined by some lady.,The commentaries weren't examined by some bike.,-59.95801019668579,-66.16682624816895,1.0,6.208816051483154,782.1144872520939,1559.1086880269122
Homer isn't described by the boys.,Homer isn't described by the snake.,-44.60216522216797,-50.05844497680664,1.0,5.456279754638672,263.8209498461055,521.8110880537886
Spain is toured by the actress.,Spain is toured by the turtle.,-33.300490379333496,-35.19148921966553,1.0,1.8909988403320312,257.25858076181186,352.5696541923525
Some hills aren't climbed down by some drivers.,Some hills aren't climbed down by some government.,-54.492844104766846,-58.36683797836304,1.0,3.8739938735961914,426.136814746649,655.3727906857199
Aaron isn't referenced by the teacher.,Aaron isn't referenced by the picture.,-40.185105323791504,-41.838233947753906,1.0,1.6531286239624023,311.2913629527217,394.21268132083463
Carolyn is referenced by some adults.,Carolyn is referenced by some book.,-41.26843786239624,-40.22617435455322,0.0,1.0422635078430176,363.3952639249304,313.12307883547743
Donna wasn't disliked by the patients.,Donna wasn't disliked by the apple.,-39.081390380859375,-47.90895080566406,1.0,8.827560424804688,132.31345909872732,398.86333950240845
The commentaries weren't scanned by the patient.,The commentaries weren't scanned by the snake.,-57.17221641540527,-57.50874996185303,1.0,0.3365335464477539,573.9076475475233,595.7738250513154
Many grocery stores are passed by the children.,Many grocery stores are passed by the trucks.,-36.992897033691406,-39.25726318359375,1.0,2.2643661499023438,101.91224799336408,135.2544606486666
Some book isn't scanned by some dancer.,Some book isn't scanned by some reports.,-50.42810821533203,-51.19758987426758,1.0,0.7694816589355469,546.4886434654,601.6637499047897
Julia was talked to by the lady.,Julia was talked to by the sheep.,-38.99153137207031,-43.0198974609375,1.0,4.0283660888671875,130.8355801474975,216.47762267184444
A lot of malls are exited by some children.,A lot of malls are exited by some screens.,-48.37048530578613,-56.70710849761963,1.0,8.336623191833496,215.83157697600683,545.0022009354981
Mitchell was discussed by some boy.,Mitchell was discussed by some pork.,-44.166932106018066,-52.35283041000366,1.0,8.185898303985596,549.803933118332,1770.42652808626
Kevin was loved by the teenagers.,Kevin was loved by the broccoli.,-32.31210994720459,-36.878851890563965,1.0,4.566741943359375,218.1868177292292,467.06821379896485
The cafes aren't appreciated by some driver.,The cafes aren't appreciated by some ellipsis.,-53.29322814941406,-59.65415668487549,1.0,6.360928535461426,781.8426603294135,756.1498959961739
Many glasses aren't cleaned by the men.,Many glasses aren't cleaned by the committees.,-44.71666717529297,-48.702552795410156,1.0,3.9858856201171875,267.62410345822656,440.4597639467688
Cilantro wasn't hidden by some teacher.,Cilantro wasn't hidden by some fish.,-51.28268623352051,-50.29282236099243,0.0,0.9898638725280762,298.29300693014153,267.22509975072705
That hill is seen by the children.,That hill is seen by the rabbits.,-30.915313720703125,-37.73156452178955,1.0,6.816250801086426,82.80375318389889,219.25238366837218
Debra wasn't admired by the drivers.,Debra wasn't admired by the geese.,-44.173988342285156,-45.95280647277832,1.0,1.778818130493164,250.0719165728531,164.9871159770573
These sketches were researched by some girls.,These sketches were researched by some axes.,-44.601287841796875,-51.535401821136475,1.0,6.9341139793396,585.0004104339611,1575.2988198651249
Bethany isn't thought about by the ladies.,Bethany isn't thought about by the windows.,-46.41551113128662,-48.84319353103638,1.0,2.427682399749756,173.69120081369698,227.47071468563905
A grocery store is researched by the actor.,A grocery store is researched by the ellipsis.,-46.223907470703125,-52.16924858093262,1.0,5.945341110229492,323.1085819754757,329.17291021174964
That cafe isn't driven to by some teachers.,That cafe isn't driven to by some documentary.,-55.711867332458496,-57.11733627319336,1.0,1.4054689407348633,487.9473357011259,570.418725353721
Spain wasn't toured by some customer.,Spain wasn't toured by some company.,-46.40885257720947,-43.31001329421997,0.0,3.098839282989502,757.358016202488,486.45517337252335
That ladder wasn't descended by the cashier.,That ladder wasn't descended by the convertibles.,-49.439125061035156,-56.428107261657715,1.0,6.988982200622559,482.93913568097736,528.3662485195703
Thomas wasn't hugged by some guest.,Thomas wasn't hugged by some projectors.,-46.378821849823,-48.36225128173828,1.0,1.9834294319152832,754.1158312420146,422.1165286743181
That fish is taken by the teacher.,That fish is taken by the series.,-34.075599670410156,-39.84571170806885,1.0,5.770112037658691,130.0530975891088,296.55850856841073
This art gallery wasn't passed by some woman.,This art gallery wasn't passed by some teeth.,-59.63426113128662,-65.60260963439941,1.0,5.968348503112793,754.4801843585482,1464.3677352602956
These unicycles are seen by the guests.,These unicycles are seen by the deer.,-46.45171880722046,-45.809709548950195,0.0,0.6420092582702637,174.39138105390333,162.3846214373963
Timothy was praised by the waitresses.,Timothy was praised by the geese.,-43.95758056640625,-41.896392822265625,0.0,2.061187744140625,243.3979043952274,188.11417696840405
Curtis is concealed by some teenager.,Curtis is concealed by some paralysis.,-51.651649475097656,-52.30466842651367,1.0,0.6530189514160156,636.8003501490554,690.9611182106167
These universities were boycotted by some lady.,These universities were boycotted by some mirrors.,-48.97515869140625,-46.932830810546875,0.0,2.042327880859375,455.7274057817222,353.04793867275475
Many malls aren't messed up by some actresses.,Many malls aren't messed up by some skateboards.,-60.00831127166748,-57.54879951477051,0.0,2.4595117568969727,786.4979698872897,315.7276426118866
Deanna isn't boasted about by some waiters.,Deanna isn't boasted about by some wheelbarrows.,-59.968461990356445,-66.43975830078125,1.0,6.471296310424805,402.15846361151154,419.8838088227184
Jacqueline was talked to by the cashiers.,Jacqueline was talked to by the feet.,-42.314767837524414,-46.850295066833496,1.0,4.535527229309082,68.81878763510434,182.28808873846117
That patient wasn't helped by the boy.,That patient wasn't helped by the reports.,-37.356632232666016,-37.761531829833984,1.0,0.40489959716796875,106.65283523897848,112.18973255869749
Deborah isn't watched by some children.,Deborah isn't watched by some fish.,-45.475547790527344,-49.505401611328125,1.0,4.029853820800781,294.25403939625096,486.9566970736911
Some hill was escaped from by the actresses.,Some hill was escaped from by the fungus.,-51.93058395385742,-50.84886169433594,0.0,1.0817222595214844,659.3951623919896,576.0000294313548
Theodore is referenced by some driver.,Theodore is referenced by some muffins.,-58.88254261016846,-59.563358306884766,1.0,0.6808156967163086,4499.816069383059,1712.0038206043141
Every skateboard isn't lifted by the man.,Every skateboard isn't lifted by the oxen.,-49.73310089111328,-56.51166343688965,1.0,6.778562545776367,501.01578691117584,533.2944524307496
All public parks were explored by some teenager.,All public parks were explored by some screen.,-46.516441345214844,-52.9055290222168,1.0,6.389087677001953,335.1422833766816,744.8561613885563
This cake is seen by the pedestrians.,This cake is seen by the parentheses.,-41.153308391571045,-42.42105770111084,1.0,1.267749309539795,357.4673595253268,428.4401693461972
Every person wasn't cared for by the offspring.,Every person wasn't cared for by the fungus.,-48.228079319000244,-46.305617809295654,0.0,1.9224615097045898,212.44337449486815,171.58326268176657
Edward wasn't insulted by some alumni.,Edward wasn't insulted by some oxen.,-47.67716979980469,-52.56150770187378,1.0,4.884337902069092,387.4730217097731,343.83693623978354
Brad was investigated by the actresses.,Brad was investigated by the rabbits.,-38.83274745941162,-35.088080406188965,0.0,3.7446670532226562,646.8565643995138,346.54524975647894
